date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:27:26	16672/16672	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:25%20GMT	https://www.calculat.org/pt/	E:/calculorg/s/www.calculat.org/pt/index.html	(from )
06:27:26	117/117	---M-Z	200	added ('OK')	text/plain	date:Mon,%2018%20Jul%202022%2009:54:55%20GMT	https://www.calculat.org/robots.txt		(from )
06:27:26	2230/2230	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202022%2014:20:40%20GMT	https://www.calculat.org/aaa/css/0/min-styl.css	E:/calculorg/s/www.calculat.org/aaa/css/0/min-styl.css	(from https://www.calculat.org/pt/)
06:27:26	3202/3202	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202022%2014:04:36%20GMT	https://www.calculat.org/aaa/css/0/styl.css	E:/calculorg/s/www.calculat.org/aaa/css/0/styl.css	(from https://www.calculat.org/pt/)
06:27:27	643/643	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202022%2014:04:35%20GMT	https://www.calculat.org/aaa/css/0/0.css	E:/calculorg/s/www.calculat.org/aaa/css/0/0.css	(from https://www.calculat.org/pt/)
06:27:27	3413/3413	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2026%20Nov%202022%2012:45:42%20GMT	https://www.calculat.org/aaa/js/min-script.js	E:/calculorg/s/www.calculat.org/aaa/js/min-script.js	(from https://www.calculat.org/pt/)
06:27:28	170493/170493	---M--	200	added ('OK')	text/javascript	etag:8785400190690678576	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-5022382288686796	E:/calculorg/s/pagead2.googlesyndication.com/pagead/js/f0d22.txt	(from https://www.calculat.org/pt/)
06:27:28	21215/21215	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:27%20GMT	https://www.calculat.org/pt/area-perimetro/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/index.html	(from https://www.calculat.org/pt/)
06:27:29	20871/20871	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:28%20GMT	https://www.calculat.org/pt/volume-area/	E:/calculorg/s/www.calculat.org/pt/volume-area/index.html	(from https://www.calculat.org/pt/)
06:27:29	19601/19601	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:28%20GMT	https://www.calculat.org/pt/porcentagem/	E:/calculorg/s/www.calculat.org/pt/porcentagem/index.html	(from https://www.calculat.org/pt/)
06:27:29	50230/50230	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	E:/calculorg/s/www.google-analytics.com/analytics.js	(from https://www.calculat.org/pt/)
06:27:30	15909/15909	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:28%20GMT	https://www.calculat.org/pt/equacao/	E:/calculorg/s/www.calculat.org/pt/equacao/index.html	(from https://www.calculat.org/pt/)
06:27:30	15856/15856	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:29%20GMT	https://www.calculat.org/pt/media/	E:/calculorg/s/www.calculat.org/pt/media/index.html	(from https://www.calculat.org/pt/)
06:27:30	19351/19351	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:29%20GMT	https://www.calculat.org/pt/regra-de-tres/	E:/calculorg/s/www.calculat.org/pt/regra-de-tres/index.html	(from https://www.calculat.org/pt/)
06:27:30	19937/19937	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:29%20GMT	https://www.calculat.org/pt/potencias-raizes/	E:/calculorg/s/www.calculat.org/pt/potencias-raizes/index.html	(from https://www.calculat.org/pt/)
06:27:31	18521/18521	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:30%20GMT	https://www.calculat.org/pt/logaritmos/	E:/calculorg/s/www.calculat.org/pt/logaritmos/index.html	(from https://www.calculat.org/pt/)
06:27:31	17824/17824	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:30%20GMT	https://www.calculat.org/pt/conversao-de-unidades/	E:/calculorg/s/www.calculat.org/pt/conversao-de-unidades/index.html	(from https://www.calculat.org/pt/)
06:27:31	16083/16083	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:30%20GMT	https://www.calculat.org/pt/energia/	E:/calculorg/s/www.calculat.org/pt/energia/index.html	(from https://www.calculat.org/pt/)
06:27:31	24057/24057	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:30%20GMT	https://www.calculat.org/pt/funcoes-trigonometricas/	E:/calculorg/s/www.calculat.org/pt/funcoes-trigonometricas/index.html	(from https://www.calculat.org/pt/)
06:27:31	25690/25690	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:31%20GMT	https://www.calculat.org/pt/area-perimetro/circulo/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/circulo/index.html	(from https://www.calculat.org/pt/)
06:27:32	1003/1003	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202022%2014:04:35%20GMT	https://www.calculat.org/aaa/css/0/svg.css	E:/calculorg/s/www.calculat.org/aaa/css/0/svg.css	(from https://www.calculat.org/pt/area-perimetro/)
06:27:32	37293/37293	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:31%20GMT	https://www.calculat.org/pt/area-perimetro/triangulo/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/triangulo/index.html	(from https://www.calculat.org/pt/)
06:27:32	32981/32981	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:31%20GMT	https://www.calculat.org/pt/area-perimetro/triangulo-retangulo/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/triangulo-retangulo/index.html	(from https://www.calculat.org/pt/)
06:27:32	30506/30506	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:31%20GMT	https://www.calculat.org/pt/area-perimetro/quadrado/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/quadrado/index.html	(from https://www.calculat.org/pt/)
06:27:33	32552/32552	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:32%20GMT	https://www.calculat.org/pt/area-perimetro/retangulo/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/retangulo/index.html	(from https://www.calculat.org/pt/)
06:27:33	33339/33339	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:32%20GMT	https://www.calculat.org/pt/area-perimetro/losango/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/losango/index.html	(from https://www.calculat.org/pt/)
06:27:33	34605/34605	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:32%20GMT	https://www.calculat.org/pt/area-perimetro/paralelogramo/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/paralelogramo/index.html	(from https://www.calculat.org/pt/)
06:27:33	33333/33333	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:33%20GMT	https://www.calculat.org/pt/area-perimetro/trapezio/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/trapezio/index.html	(from https://www.calculat.org/pt/)
06:27:33	2217/2217	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202022%2014:04:35%20GMT	https://www.calculat.org/aaa/css/0/1.css	E:/calculorg/s/www.calculat.org/aaa/css/0/1.css	(from https://www.calculat.org/pt/porcentagem/)
06:27:34	29109/29109	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:33%20GMT	https://www.calculat.org/pt/area-perimetro/pentagono/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/pentagono/index.html	(from https://www.calculat.org/pt/)
06:27:34	29241/29241	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:33%20GMT	https://www.calculat.org/pt/area-perimetro/hexagono/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/hexagono/index.html	(from https://www.calculat.org/pt/)
06:27:34	405/405	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202022%2014:04:35%20GMT	https://www.calculat.org/aaa/css/0/300.css	E:/calculorg/s/www.calculat.org/aaa/css/0/300.css	(from https://www.calculat.org/pt/porcentagem/)
06:27:34	29511/29511	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:34%20GMT	https://www.calculat.org/pt/area-perimetro/poligono/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/poligono/index.html	(from https://www.calculat.org/pt/)
06:27:34	26949/26949	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:34%20GMT	https://www.calculat.org/pt/area-perimetro/teorema-de-pitagoras/	E:/calculorg/s/www.calculat.org/pt/area-perimetro/teorema-de-pitagoras/index.html	(from https://www.calculat.org/pt/)
06:27:35	1730755/1730755	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20Jul%202022%2019:34:55%20GMT	https://www.calculat.org/aaa/js/mathjax/es5/tex-svg.js	E:/calculorg/s/www.calculat.org/aaa/js/mathjax/es5/tex-svg.js	(from https://www.calculat.org/pt/area-perimetro/)
06:27:35	30192/30192	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:34%20GMT	https://www.calculat.org/pt/volume-area/cubo/	E:/calculorg/s/www.calculat.org/pt/volume-area/cubo/index.html	(from https://www.calculat.org/pt/)
06:27:35	2511/2511	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2029%20Nov%202022%2010:19:51%20GMT	https://www.calculat.org/aaa/js/0/300.js	E:/calculorg/s/www.calculat.org/aaa/js/0/300.js	(from https://www.calculat.org/pt/porcentagem/)
06:27:35	35486/35486	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:35%20GMT	https://www.calculat.org/pt/volume-area/ortoedro/	E:/calculorg/s/www.calculat.org/pt/volume-area/ortoedro/index.html	(from https://www.calculat.org/pt/)
06:27:35	32768/32768	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2009:27:35%20GMT	https://www.calculat.org/pt/volume-area/cilindro/	E:/calculorg/s/www.calculat.org/pt/volume-area/cilindro/index.html	(from https://www.calculat.org/pt/)
06:27:35	1385/1385	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2029%20Nov%202022%2010:19:56%20GMT	https://www.calculat.org/aaa/js/0/kalk.js	E:/calculorg/s/www.calculat.org/aaa/js/0/kalk.js	(from https://www.calculat.org/pt/porcentagem/)
